Concept	AUROC	#SNPs	Genes	SNPs	#Significant runs	Significance values
REGULATION_OF_DEFENSE_RESPONSE	0.6869484627473104	94	APOBEC3G,TLR8,CHRNA7,GHRL,CRTAM,NCR1,GHSR,IL12A	rs4779565,rs8027035,rs2278427,rs2278428,rs7175581,rs2413565,rs4144707,rs3134425,rs572169,rs565105,rs3736685,rs1403637,rs2243131,rs27647,rs10750229,rs2159377,rs35683,rs12160242,rs8035668,rs5744077,rs1548731,rs2243123,rs2611603,rs495225,rs2413570,rs2611605,rs11218856,rs8028396,rs11218863,rs3747414,rs11633380,rs568408,rs509035,rs17338032,rs5741889,rs1013150,rs2177194,rs2272094,rs6494165,rs7126620,rs5744044,rs2243115,rs7179008,rs11858834,rs4779978,rs4684677,rs5750735,rs6494223,rs2140151,rs7179733,rs2370796,rs17126930,rs5757465,rs2370794,rs3764880,rs2337507,rs3920243,rs3107634,rs4830807,rs2651418,rs4830808,rs3133250,rs5757462,rs5744048,rs3107638,rs696217,rs7941607,rs12099195,rs2337980,rs1916040,rs5757458,rs10790539,rs1355920,rs1433097,rs10438342,rs8033518,rs10427620,rs904951,rs3826029,rs5744081,rs3107606,rs5744080,rs1879883,rs12904458,rs5744084,rs16986072,rs12270235,rs6001402,rs583911,rs8177832,rs5757451,rs12906868,rs1392808,rs7125644	1	0.064
BRAIN_DEVELOPMENT	0.6855403777876277	358	PITPNM1,UTP3,DSCAML1,PCDH18,CLN5,MAP1S,POU6F1,ALX1,ALK,DLX2,SIX3,NNAT,LHX6,SHROOM2,SMARCA1,CNTN4	rs886128,rs4444478,rs13061928,rs1861164,rs886129,rs1033237,rs12330377,rs12328429,rs6786174,rs9845036,rs17024684,rs7626866,rs3795850,rs7252905,rs3793621,rs9847797,rs2675289,rs9852580,rs1554198,rs4603339,rs17327524,rs6787320,rs989798,rs7626135,rs9864546,rs17021477,rs2616585,rs3131272,rs11888500,rs8114231,rs7635644,rs17024492,rs3793617,rs17010936,rs4637279,rs9310890,rs3819132,rs2276549,rs12494696,rs2238884,rs1154721,rs17121246,rs2238886,rs12291974,rs7625369,rs1324149,rs2283703,rs4234555,rs7945999,rs4837949,rs4510175,rs9820464,rs4343610,rs6637604,rs6637605,rs1076167,rs6731938,rs2176262,rs2238888,rs17321218,rs10747607,rs3750486,rs9873966,rs2287860,rs17646346,rs13025743,rs13060035,rs5934722,rs12321105,rs1499139,rs1973683,rs1499130,rs2105634,rs6637612,rs12993382,rs2729287,rs3733488,rs6637615,rs17585537,rs1499133,rs10177708,rs17022164,rs9821317,rs2729289,rs1499135,rs729752,rs7611903,rs6547982,rs5977099,rs6547918,rs11604662,rs13068264,rs10415815,rs9874811,rs13020484,rs5977093,rs4830679,rs12633402,rs12795949,rs4830676,rs6580806,rs11129265,rs6580809,rs4685582,rs17007625,rs7603844,rs7637662,rs9684994,rs10818651,rs10818652,rs6634745,rs13422564,rs3118098,rs17646423,rs6766259,rs11673001,rs2673270,rs6790762,rs4685595,rs7356030,rs2675304,rs965396,rs2675301,rs17023434,rs2320957,rs2320958,rs10985568,rs4666200,rs4685592,rs6803232,rs6589622,rs1358516,rs10410487,rs642394,rs12497706,rs13406263,rs338076,rs12185589,rs17716734,rs6799919,rs10985563,rs11216534,rs10892169,rs17023926,rs9715105,rs9853379,rs11169752,rs4567890,rs6708752,rs2274093,rs17012676,rs11216527,rs7637988,rs344386,rs17595976,rs4622670,rs2073941,rs1026277,rs3851576,rs3131265,rs2073945,rs6762178,rs2073943,rs2201923,rs9310866,rs4685575,rs7649063,rs10405032,rs12638165,rs2320830,rs17025031,rs10432706,rs3749363,rs13394509,rs10432708,rs11688109,rs10818649,rs751056,rs7646097,rs7599783,rs10818647,rs7124184,rs11169748,rs9869344,rs12099841,rs9872038,rs149467,rs12328903,rs13132611,rs13095949,rs528431,rs2155387,rs7940638,rs7611703,rs9822614,rs17311045,rs168165,rs876254,rs2728024,rs767460,rs2055320,rs13031061,rs625447,rs3815016,rs6529381,rs17586876,rs17019317,rs7629924,rs6529384,rs13081043,rs3761055,rs1881417,rs1024147,rs1590395,rs7648232,rs4608676,rs4576856,rs2728030,rs6750752,rs2728034,rs12631108,rs6781913,rs6529374,rs12476676,rs2239421,rs12012202,rs2239422,rs11675197,rs13315983,rs4502372,rs2239425,rs6640557,rs2239419,rs1924476,rs4830425,rs7638622,rs6640551,rs2728047,rs6640552,rs4666196,rs7644104,rs10783419,rs11116772,rs10783418,rs9310928,rs13080275,rs3863310,rs6512218,rs7574859,rs9839494,rs10783416,rs6640569,rs4350702,rs9837045,rs13088151,rs3967317,rs7617493,rs10760213,rs9310923,rs17586083,rs12810608,rs6809399,rs7253117,rs17716681,rs6442749,rs2055318,rs10184494,rs10790208,rs1004308,rs6779663,rs2012821,rs6785817,rs1545771,rs1382871,rs1391937,rs12985015,rs12345155,rs10510248,rs10510247,rs3788949,rs4074726,rs6795508,rs11738,rs1420021,rs5018731,rs12635996,rs17018664,rs10510243,rs10735832,rs1516383,rs4666288,rs10510245,rs17023766,rs17022006,rs11608364,rs10510240,rs1391933,rs10510241,rs9842399,rs3788950,rs10510242,rs1391927,rs7648792,rs13077493,rs6442761,rs6442763,rs344405,rs344406,rs10510239,rs344403,rs11825655,rs344404,rs12715157,rs9286351,rs9815595,rs344409,rs3118104,rs17019466,rs8111532,rs9845519,rs7646667,rs7589120,rs17784025,rs11681922,rs2729046,rs13324651,rs7924993,rs12423352,rs7119911,rs12715145,rs13413749,rs13089241,rs1858884,rs340804,rs163543,rs7940750,rs6442772,rs5932625,rs12010339,rs1949342,rs9821347,rs1949343,rs10018837,rs3490,rs6789163,rs16985801,rs17023882,rs4938377,rs35678237,rs1467737,rs1400197,rs17023681,rs4349303,rs3846132,rs7431865,rs876748,rs2339469,rs7641289	1	0.014
IMMUNE_EFFECTOR_PROCESS	0.6929501730444633	127	APOA2,FCN1,APOBEC3G,CD74,CRTAM,IL12A,TLR8,BNIP3,FCN2,NCR1,TLR7,IL29,RSAD2	rs4370608,rs2278427,rs2278428,rs16865717,rs16865704,rs7862656,rs3736685,rs1731479,rs4604523,rs2243131,rs12721035,rs2159377,rs12160242,rs5744077,rs2243123,rs3747414,rs3753008,rs11103564,rs5935436,rs2177194,rs8108392,rs7126620,rs7863062,rs7247086,rs4669111,rs5744044,rs2989723,rs4612436,rs2243115,rs4669114,rs4669113,rs5750735,rs2140151,rs30461,rs2370796,rs864058,rs7722480,rs2370794,rs3107634,rs3793740,rs8108057,rs3107638,rs5744048,rs2288817,rs7247097,rs10790539,rs1433097,rs4372082,rs10427620,rs1879883,rs8177832,rs11749903,rs2305258,rs7851696,rs2413565,rs3134425,rs3796115,rs1620233,rs5743740,rs1638596,rs3012787,rs10750229,rs5743749,rs7570384,rs2989736,rs2712029,rs1548731,rs6431837,rs7024491,rs2413570,rs6431835,rs11218856,rs7037264,rs179019,rs11218863,rs568408,rs17338032,rs5741889,rs10182815,rs1013150,rs2272094,rs1071583,rs2989734,rs2989735,rs2595173,rs179010,rs8107861,rs179012,rs10495546,rs179013,rs5743720,rs179009,rs17126930,rs5757465,rs3764880,rs3124953,rs7886759,rs3124952,rs4830807,rs3133250,rs4830808,rs5757462,rs1056400,rs7941607,rs12099195,rs2302267,rs1916040,rs5757458,rs3128627,rs2070623,rs3128625,rs3128624,rs3128623,rs2070620,rs4578023,rs5744081,rs3107606,rs5744080,rs4520243,rs5744084,rs16986072,rs12270235,rs6001402,rs583911,rs5757451,rs6413453,rs7125644	1	0.016
STEROID_BIOSYNTHETIC_PROCESS	0.6835569703563418	149	NR0B1,HSD3B1,HSD11B2,NSDHL,TFCP2L1,HSD3B7,CYP7B1,SOD1,FDPS,FDXR,BMP6,CNBP	rs9875392,rs9505293,rs2305880,rs1530124,rs267840,rs9505298,rs7277748,rs3827416,rs4829424,rs3768905,rs13259721,rs2260394,rs6472152,rs3795853,rs689649,rs6526131,rs16996816,rs3761503,rs13248755,rs932603,rs13278548,rs516035,rs1078442,rs1237087,rs2070918,rs4971072,rs3768910,rs13276608,rs4634679,rs4817420,rs4303883,rs13264230,rs13255280,rs8192899,rs7822429,rs4376639,rs882759,rs7004523,rs10957322,rs4828729,rs4236936,rs2301189,rs9298085,rs6428830,rs7638827,rs16931331,rs267203,rs690307,rs267201,rs267206,rs267205,rs17006296,rs2280870,rs376308,rs12558405,rs690371,rs560323,rs16931334,rs6714806,rs6653488,rs6994260,rs690514,rs2304667,rs7812644,rs11264359,rs6627694,rs9650212,rs5927492,rs999766,rs4737681,rs4737682,rs6673653,rs11992601,rs4737680,rs9938550,rs3765945,rs3779869,rs1133080,rs2241669,rs1044104,rs5925236,rs11264361,rs13276281,rs592849,rs5925234,rs267191,rs11890430,rs9880375,rs2713207,rs5970389,rs2119021,rs7821085,rs267194,rs2116238,rs3754633,rs10200387,rs16931343,rs6987861,rs2713203,rs3788891,rs1107495,rs12674544,rs4480156,rs2864927,rs690418,rs11884459,rs2079521,rs12836478,rs1451869,rs7826214,rs267184,rs1384313,rs2071254,rs11996540,rs690146,rs6991989,rs6661258,rs2953083,rs1225934,rs6627272,rs916042,rs6627271,rs1225933,rs2250092,rs34212827,rs750416,rs750415,rs6541772,rs6988434,rs5480,rs11688688,rs3779874,rs509911,rs3779871,rs3779870,rs6671149,rs17006248,rs13272719,rs3788741,rs10496564,rs7596689,rs12633752,rs1041740,rs13252547,rs2297480,rs521002,rs5479,rs8192906,rs17006183	1	0.056
REGULATION_OF_IMMUNE_RESPONSE	0.6876916808818327	77	LAT2,CRTAM,IL12A,TRAT1,TLR8,NCR1,IL29	rs2278427,rs2278428,rs1348994,rs17146114,rs3134425,rs13080704,rs2243131,rs10750229,rs2159377,rs2023380,rs2715694,rs5744077,rs1548731,rs2243123,rs2953339,rs3762792,rs6796621,rs11218856,rs11218863,rs3747414,rs568408,rs9879812,rs17338032,rs5741889,rs3811686,rs1013150,rs2272094,rs2177194,rs4507261,rs7126620,rs8108392,rs7247086,rs7651205,rs5744044,rs10933964,rs2293757,rs2243115,rs2715716,rs2290055,rs2140151,rs8107861,rs30461,rs1447708,rs2370796,rs2715713,rs6764854,rs17126930,rs7609997,rs3764880,rs2370794,rs3107634,rs4830807,rs4830808,rs3133250,rs5744048,rs3107638,rs8108057,rs12099195,rs7941607,rs7247097,rs1916040,rs2715729,rs1374818,rs10790539,rs1433097,rs5744081,rs3107606,rs5744080,rs2593831,rs1447713,rs1879883,rs5744084,rs16986072,rs2715725,rs12270235,rs583911,rs7125644	1	0.088
INTERFERON_GAMMA_BIOSYNTHETIC_PROCESS	0.7044118502997497	41	EBI3,INHBA,TLR9,TLR8,TLR7	rs5743839,rs5744044,rs352140,rs179010,rs2237435,rs179012,rs179013,rs5743720,rs352139,rs1620233,rs1731479,rs864058,rs5743740,rs179009,rs1638596,rs3764880,rs7886759,rs4830807,rs4830808,rs2159377,rs5744048,rs6958234,rs5743749,rs4905,rs4740,rs5743849,rs2302267,rs5744077,rs7614535,rs1548731,rs352162,rs13345747,rs187084,rs179019,rs3747414,rs5744081,rs5744080,rs5935436,rs5741889,rs5744084,rs1013150	1	0.04
CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.6801072741355612	186	OPA1,RHOT1,KIF5A,MAP1S,NEFL,KIF4A,RHOT2,KIF5B,UXT,MYO6,MYO1E,KIF13B	rs3794492,rs17526904,rs3798430,rs5980923,rs3794494,rs12840573,rs3822957,rs211362,rs4775125,rs7007878,rs4732920,rs4732922,rs8076276,rs12905793,rs4984681,rs7252905,rs7178041,rs11557858,rs2600003,rs1199468,rs13470,rs7313599,rs1471939,rs1378703,rs3798434,rs17487587,rs3761055,rs11854099,rs16941055,rs6581146,rs11071408,rs5980934,rs9360954,rs2842549,rs17302233,rs11852359,rs2044206,rs7816628,rs2979687,rs16967164,rs13211391,rs172432,rs172431,rs12606,rs2171286,rs4824629,rs3798429,rs11785934,rs5980929,rs1925927,rs1032180,rs1032182,rs2976442,rs11172254,rs2979704,rs524458,rs775246,rs2976441,rs11854697,rs2789638,rs12917076,rs6525471,rs10091515,rs2954794,rs12852829,rs2789639,rs17059855,rs4775140,rs6512218,rs10100409,rs11594506,rs2279445,rs7162863,rs11634752,rs9915624,rs3752487,rs775251,rs4774323,rs17059860,rs775250,rs2287860,rs2242321,rs10521349,rs8040147,rs4775136,rs7002710,rs9889830,rs12595677,rs1284464,rs12010687,rs4287498,rs7253117,rs7170390,rs12902525,rs775249,rs2286746,rs8076166,rs16967203,rs4508371,rs7165587,rs6494102,rs211399,rs4077169,rs10415815,rs1128550,rs6981956,rs901481,rs2306788,rs2306787,rs703841,rs5030616,rs7746476,rs2306784,rs6558103,rs12985015,rs2306783,rs5030619,rs6993645,rs13202519,rs2306781,rs3191402,rs6609542,rs10503851,rs11631023,rs11673001,rs699186,rs11796153,rs3750264,rs12591933,rs775322,rs1639134,rs775321,rs17269545,rs720863,rs6525364,rs5936558,rs2306791,rs1148552,rs7053139,rs2899644,rs8031729,rs10112345,rs8111532,rs10410487,rs923242,rs4732901,rs10109568,rs1045763,rs1199408,rs11857500,rs211277,rs7831454,rs4732903,rs1775715,rs2295936,rs11071412,rs211285,rs11998212,rs2084161,rs17526980,rs1535501,rs1565017,rs5936891,rs7163858,rs7177871,rs17182658,rs7183561,rs8873,rs7175697,rs10405032,rs6494081,rs11855027,rs2208798,rs7000444,rs6999630,rs8038705,rs9447579,rs8040100,rs17456706,rs11609196,rs733675,rs6494086,rs9987365,rs7165751,rs11636141,rs2069145	1	0.07
VESICLE_LOCALIZATION	0.6785850201250935	104	SNAP29,LRMP,SHROOM2	rs12297514,rs165598,rs886128,rs11609332,rs886129,rs11047789,rs10842458,rs2291366,rs1979522,rs962656,rs10743538,rs3815016,rs10842466,rs859153,rs17327524,rs859157,rs11577,rs2012450,rs4963602,rs7977085,rs2239421,rs12012202,rs2239422,rs861462,rs2239425,rs2238884,rs6640557,rs2238886,rs2239419,rs11047765,rs1569392,rs4830425,rs2283703,rs6640551,rs6640552,rs7955576,rs7960092,rs1076167,rs2238888,rs17321218,rs12229161,rs6640569,rs7316187,rs859202,rs7303889,rs5934722,rs6487451,rs6487452,rs7975271,rs859141,rs16928445,rs165623,rs2012821,rs11047806,rs2086939,rs1683163,rs1497250,rs4830679,rs1683169,rs1683168,rs1497258,rs4830676,rs1497259,rs12423264,rs3788949,rs7972080,rs859198,rs16928360,rs1012980,rs3788950,rs178074,rs10771158,rs859123,rs715989,rs859125,rs178070,rs1061063,rs7303669,rs12168260,rs699052,rs165783,rs11047820,rs699053,rs1858884,rs860875,rs2073941,rs979553,rs1693359,rs2073945,rs2073943,rs2101302,rs10483104,rs12010339,rs11047814,rs165877,rs6004721,rs11047795,rs16985801,rs165686,rs165905,rs2054767,rs11608514,rs10505958,rs10505959	1	0.19
CYTOKINE_METABOLIC_PROCESS	0.7083920968153551	83	EBI3,IL9,APOA2,INHBA,TLR9,GHRL,AZU1,SPN,TLR8,TLR7,IL6,GHSR	rs5743839,rs352140,rs2066992,rs588442,rs4144707,rs2237435,rs572169,rs565105,rs1620233,rs352139,rs1731479,rs1403637,rs5743740,rs1638596,rs27647,rs12721035,rs1524107,rs2159377,rs35683,rs5743749,rs4905,rs1554606,rs5743849,rs5744077,rs1548731,rs7614535,rs31564,rs602186,rs2069882,rs606119,rs352162,rs495225,rs13345747,rs3747414,rs179019,rs2069842,rs2069843,rs509035,rs5935436,rs5741889,rs1013150,rs2069849,rs2069885,rs1800797,rs11741137,rs5744044,rs4684677,rs179010,rs179012,rs179013,rs687077,rs1474347,rs5743720,rs2069835,rs2069832,rs2069830,rs864058,rs179009,rs3764880,rs13306435,rs7886759,rs2069838,rs4830807,rs11574552,rs4830808,rs6958234,rs2069837,rs5744048,rs12460890,rs4740,rs696217,rs2302267,rs595844,rs2066758,rs1859430,rs187084,rs5744081,rs5744080,rs5744084,rs3764275,rs3764276,rs6413453,rs4807059	1	0.0
CYTOKINE_BIOSYNTHETIC_PROCESS	0.7083920968153551	83	EBI3,IL9,APOA2,INHBA,TLR9,GHRL,AZU1,SPN,TLR8,TLR7,IL6,GHSR	rs5743839,rs352140,rs2066992,rs588442,rs4144707,rs2237435,rs572169,rs565105,rs1620233,rs352139,rs1731479,rs1403637,rs5743740,rs1638596,rs27647,rs12721035,rs1524107,rs2159377,rs35683,rs5743749,rs4905,rs1554606,rs5743849,rs5744077,rs1548731,rs7614535,rs31564,rs602186,rs2069882,rs606119,rs352162,rs495225,rs13345747,rs3747414,rs179019,rs2069842,rs2069843,rs509035,rs5935436,rs5741889,rs1013150,rs2069849,rs2069885,rs1800797,rs11741137,rs5744044,rs4684677,rs179010,rs179012,rs179013,rs687077,rs1474347,rs5743720,rs2069835,rs2069832,rs2069830,rs864058,rs179009,rs3764880,rs13306435,rs7886759,rs2069838,rs4830807,rs11574552,rs4830808,rs6958234,rs2069837,rs5744048,rs12460890,rs4740,rs696217,rs2302267,rs595844,rs2066758,rs1859430,rs187084,rs5744081,rs5744080,rs5744084,rs3764275,rs3764276,rs6413453,rs4807059	1	0.0
